Model,Type,Sparsity,LIRA_Acc,LIRA_AUC,SHOKRI_NN_Acc,SHOKRI_NN_AUC,TOP3_NN_Acc,TOP3_NN_AUC,CLASS_LABEL_NN_Acc,CLASS_LABEL_NN_AUC,SAMIA_Acc,SAMIA_AUC
dense,dense,0.0%,0.391,0.540,0.833,0.626,0.833,0.628,0.833,0.622,0.834,0.627
dense_baseline,dense,0.0%,0.371,0.489,0.834,0.623,0.833,0.625,0.834,0.615,0.834,0.624
static_sparsity0.5,static,50.0%,0.375,0.518,0.833,0.625,0.833,0.623,0.833,0.621,0.833,0.625
static_sparsity0.7,static,70.0%,0.350,0.491,0.835,0.641,0.833,0.639,0.829,0.633,0.828,0.642
static_sparsity0.8,static,80.0%,0.365,0.510,0.833,0.620,0.833,0.617,0.833,0.616,0.831,0.620
static_sparsity0.9,static,90.0%,0.343,0.538,0.829,0.626,0.833,0.625,0.833,0.613,0.824,0.624
static_sparsity0.95,static,95.0%,0.430,0.502,0.833,0.606,0.833,0.604,0.833,0.591,0.828,0.608
dpf_sparsity0.5,dpf,50.0%,0.362,0.503,0.833,0.624,0.833,0.622,0.833,0.615,0.833,0.624
dpf_sparsity0.7,dpf,70.0%,0.353,0.532,0.833,0.612,0.833,0.610,0.834,0.603,0.833,0.612
dpf_sparsity0.8,dpf,80.0%,0.362,0.534,0.833,0.627,0.833,0.631,0.833,0.624,0.835,0.633
dpf_sparsity0.9,dpf,90.0%,0.366,0.521,0.833,0.623,0.833,0.619,0.833,0.613,0.833,0.624
dpf_sparsity0.95,dpf,95.0%,0.341,0.480,0.834,0.626,0.833,0.625,0.833,0.617,0.831,0.625
