Model,Type,Variant,Sparsity,LIRA_Acc,LIRA_AUC,SHOKRI_NN_Acc,SHOKRI_NN_AUC,TOP3_NN_Acc,TOP3_NN_AUC,CLASS_LABEL_NN_Acc,CLASS_LABEL_NN_AUC,SAMIA_Acc,SAMIA_AUC
dwa_kill_active_plain_dead_s0.5_cifar10,dwa,kill_active_plain_dead,50.0%,0.376,0.520,0.833,0.635,0.833,0.636,0.833,0.623,0.834,0.634
dwa_kill_active_plain_dead_s0.7_cifar10,dwa,kill_active_plain_dead,70.0%,0.375,0.531,0.833,0.628,0.833,0.630,0.833,0.619,0.834,0.629
dwa_kill_active_plain_dead_s0.8_cifar10,dwa,kill_active_plain_dead,80.0%,0.376,0.528,0.833,0.642,0.833,0.645,0.833,0.643,0.834,0.645
dwa_kill_active_plain_dead_s0.95_cifar10,dwa,kill_active_plain_dead,95.0%,0.367,0.522,0.833,0.626,0.833,0.623,0.833,0.620,0.834,0.625
dwa_kill_active_plain_dead_s0.9_cifar10,dwa,kill_active_plain_dead,90.0%,0.370,0.515,0.833,0.632,0.833,0.633,0.833,0.628,0.834,0.633
dwa_kill_and_reactivate_s0.5_cifar10,dwa,kill_and_reactivate,50.0%,0.375,0.523,0.833,0.626,0.833,0.629,0.833,0.619,0.834,0.627
dwa_kill_and_reactivate_s0.7_cifar10,dwa,kill_and_reactivate,70.0%,0.366,0.517,0.833,0.610,0.833,0.614,0.833,0.602,0.833,0.610
dwa_kill_and_reactivate_s0.8_cifar10,dwa,kill_and_reactivate,80.0%,0.363,0.528,0.833,0.627,0.833,0.628,0.833,0.623,0.834,0.628
dwa_kill_and_reactivate_s0.95_cifar10,dwa,kill_and_reactivate,95.0%,0.365,0.528,0.833,0.632,0.833,0.633,0.833,0.629,0.834,0.634
dwa_kill_and_reactivate_s0.9_cifar10,dwa,kill_and_reactivate,90.0%,0.366,0.515,0.833,0.642,0.833,0.644,0.833,0.636,0.834,0.643
dwa_reactivate_only_s0.5_cifar10,dwa,reactivate_only,50.0%,0.371,0.530,0.833,0.625,0.833,0.627,0.833,0.625,0.834,0.627
dwa_reactivate_only_s0.7_cifar10,dwa,reactivate_only,70.0%,0.367,0.515,0.833,0.633,0.833,0.635,0.833,0.629,0.833,0.635
dwa_reactivate_only_s0.8_cifar10,dwa,reactivate_only,80.0%,0.367,0.528,0.833,0.630,0.833,0.632,0.833,0.624,0.833,0.632
dwa_reactivate_only_s0.95_cifar10,dwa,reactivate_only,95.0%,0.378,0.537,0.833,0.638,0.833,0.641,0.833,0.631,0.833,0.642
dwa_reactivate_only_s0.9_cifar10,dwa,reactivate_only,90.0%,0.366,0.511,0.833,0.613,0.833,0.615,0.833,0.607,0.834,0.616
