Model,Type,Sparsity,LIRA_Acc,LIRA_AUC,SHOKRI_NN_Acc,SHOKRI_NN_AUC,TOP3_NN_Acc,TOP3_NN_AUC,CLASS_LABEL_NN_Acc,CLASS_LABEL_NN_AUC,SAMIA_Acc,SAMIA_AUC
dense_cifar10,dense,0.0%,0.389,0.540,0.833,0.625,0.833,0.627,0.833,0.621,0.833,0.626
dpf_sparsity_0.7_freeze180_cifar10,dpf,70.0%,0.370,0.488,0.834,0.623,0.833,0.624,0.834,0.616,0.833,0.621
dpf_sparsity_0.8_freeze180_cifar10,dpf,80.0%,0.383,0.522,0.833,0.625,0.833,0.626,0.833,0.621,0.833,0.627
dpf_sparsity_0.8_nofreeze_cifar10,dpf,80.0%,0.354,0.494,0.834,0.649,0.833,0.651,0.833,0.640,0.835,0.651
dpf_sparsity_0.7_nofreeze_cifar10,dpf,70.0%,0.389,0.531,0.833,0.631,0.833,0.630,0.833,0.628,0.833,0.632
dpf_sparsity_0.95_freeze180_cifar10,dpf,95.0%,0.406,0.529,0.833,0.624,0.833,0.626,0.833,0.621,0.834,0.625
dpf_sparsity_0.9_nofreeze_cifar10,dpf,90.0%,0.455,0.517,0.834,0.629,0.833,0.629,0.833,0.626,0.833,0.627
dpf_sparsity_0.95_nofreeze_cifar10,dpf,95.0%,0.370,0.504,0.833,0.626,0.833,0.624,0.833,0.614,0.833,0.627
dpf_sparsity_0.5_nofreeze_cifar10,dpf,50.0%,0.651,0.520,0.833,0.626,0.833,0.627,0.833,0.620,0.832,0.626
dpf_sparsity_0.9_freeze180_cifar10,dpf,90.0%,0.355,0.529,0.833,0.631,0.833,0.632,0.834,0.624,0.836,0.631
dpf_sparsity_0.5_freeze180_cifar10,dpf,50.0%,0.376,0.520,0.833,0.628,0.833,0.625,0.833,0.619,0.833,0.629
static_sparsity0.5_cifar10,static,50.0%,0.374,0.502,0.834,0.647,0.833,0.649,0.834,0.638,0.833,0.647
static_sparsity0.8_cifar10,static,80.0%,0.560,0.517,0.833,0.635,0.833,0.640,0.833,0.624,0.834,0.637
static_sparsity0.9_cifar10,static,90.0%,0.357,0.529,0.834,0.618,0.833,0.627,0.834,0.599,0.834,0.618
static_sparsity0.7_cifar10,static,70.0%,0.473,0.535,0.833,0.617,0.833,0.620,0.833,0.605,0.833,0.617
static_sparsity0.95_cifar10,static,95.0%,0.356,0.491,0.833,0.629,0.833,0.626,0.833,0.623,0.833,0.628
