experiment,method,sparsity,lira_accuracy,lira_auc,shokri_nn_accuracy,shokri_nn_auc,top3_nn_accuracy,top3_nn_auc,class_label_nn_accuracy,class_label_nn_auc,samia_accuracy,samia_auc,confidence_accuracy,confidence_f1,entropy_accuracy,entropy_f1,modified_entropy_accuracy,modified_entropy_f1,neural_network_accuracy,neural_network_f1,neural_network_auc
dense_cifar10,dense,0.0,0.389,0.54,0.833,0.625,0.833,0.627,0.833,0.621,0.833,0.626,0.198,0.082,0.534,0.645,0.198,0.08,0.833,0.909,0.625
dpf_sparsity_0.5_nofreeze_cifar10,dpf,0.5,0.651,0.52,0.833,0.626,0.833,0.627,0.833,0.62,0.832,0.626,0.198,0.082,0.537,0.648,0.198,0.08,0.834,0.909,0.625
dpf_sparsity_0.5_freeze180_cifar10,dpf,0.5,0.376,0.52,0.833,0.628,0.833,0.625,0.833,0.619,0.833,0.629,0.199,0.082,0.538,0.649,0.198,0.081,0.833,0.909,0.624
dpf_sparsity_0.7_freeze180_cifar10,dpf,0.7,0.37,0.488,0.834,0.623,0.833,0.624,0.834,0.616,0.833,0.621,0.198,0.082,0.536,0.647,0.198,0.08,0.833,0.909,0.624
dpf_sparsity_0.7_nofreeze_cifar10,dpf,0.7,0.389,0.531,0.833,0.631,0.833,0.63,0.833,0.628,0.833,0.632,0.198,0.081,0.534,0.646,0.198,0.08,0.833,0.909,0.625
dpf_sparsity_0.8_freeze180_cifar10,dpf,0.8,0.383,0.522,0.833,0.625,0.833,0.626,0.833,0.621,0.833,0.627,0.198,0.081,0.533,0.644,0.198,0.079,0.833,0.909,0.625
dpf_sparsity_0.8_nofreeze_cifar10,dpf,0.8,0.354,0.494,0.834,0.649,0.833,0.651,0.833,0.64,0.835,0.651,0.198,0.081,0.532,0.643,0.198,0.079,0.833,0.909,0.625
dpf_sparsity_0.9_nofreeze_cifar10,dpf,0.9,0.455,0.517,0.834,0.629,0.833,0.629,0.833,0.626,0.833,0.627,0.198,0.078,0.523,0.632,0.197,0.077,0.833,0.909,0.623
dpf_sparsity_0.9_freeze180_cifar10,dpf,0.9,0.355,0.529,0.833,0.631,0.833,0.632,0.834,0.624,0.836,0.631,0.198,0.08,0.528,0.638,0.197,0.078,0.833,0.909,0.624
dpf_sparsity_0.95_freeze180_cifar10,dpf,0.95,0.406,0.529,0.833,0.624,0.833,0.626,0.833,0.621,0.834,0.625,0.196,0.075,0.512,0.619,0.195,0.073,0.833,0.909,0.624
dpf_sparsity_0.95_nofreeze_cifar10,dpf,0.95,0.37,0.504,0.833,0.626,0.833,0.624,0.833,0.614,0.833,0.627,0.195,0.072,0.506,0.611,0.194,0.07,0.833,0.909,0.624
static_sparsity0.5_cifar10,static,0.5,0.374,0.502,0.834,0.647,0.833,0.649,0.834,0.638,0.833,0.647,0.198,0.081,0.534,0.645,0.198,0.08,0.833,0.909,0.625
static_sparsity0.7_cifar10,static,0.7,0.473,0.535,0.833,0.617,0.833,0.62,0.833,0.605,0.833,0.617,0.198,0.081,0.529,0.64,0.197,0.078,0.833,0.909,0.624
static_sparsity0.8_cifar10,static,0.8,0.56,0.517,0.833,0.635,0.833,0.64,0.833,0.624,0.834,0.637,0.198,0.078,0.524,0.633,0.197,0.077,0.834,0.909,0.624
static_sparsity0.9_cifar10,static,0.9,0.357,0.529,0.834,0.618,0.833,0.627,0.834,0.599,0.834,0.618,0.196,0.074,0.512,0.619,0.195,0.073,0.833,0.909,0.625
static_sparsity0.95_cifar10,static,0.95,0.356,0.491,0.833,0.629,0.833,0.626,0.833,0.623,0.833,0.628,0.193,0.068,0.491,0.592,0.192,0.065,0.833,0.909,0.622
