Model,Type,Variant,Sparsity,Confidence_Accuracy,Confidence_F1,Entropy_Accuracy,Entropy_F1,Modified_Entropy_Accuracy,Modified_Entropy_F1,Neural_Network_Accuracy,Neural_Network_F1,Neural_Network_AUC
dwa_kill_active_plain_dead_s0.5_cifar10,dwa,kill_active_plain_dead,50.0%,0.219,0.136,0.657,0.771,0.220,0.140,0.833,0.909,0.637
dwa_kill_active_plain_dead_s0.7_cifar10,dwa,kill_active_plain_dead,70.0%,0.204,0.094,0.591,0.709,0.213,0.117,0.833,0.909,0.628
dwa_kill_active_plain_dead_s0.8_cifar10,dwa,kill_active_plain_dead,80.0%,0.202,0.093,0.599,0.715,0.210,0.116,0.833,0.909,0.643
dwa_kill_active_plain_dead_s0.95_cifar10,dwa,kill_active_plain_dead,95.0%,0.199,0.086,0.590,0.708,0.207,0.107,0.833,0.909,0.624
dwa_kill_active_plain_dead_s0.9_cifar10,dwa,kill_active_plain_dead,90.0%,0.201,0.092,0.605,0.720,0.210,0.114,0.833,0.909,0.634
dwa_kill_and_reactivate_s0.5_cifar10,dwa,kill_and_reactivate,50.0%,0.213,0.112,0.601,0.717,0.223,0.139,0.833,0.909,0.627
dwa_kill_and_reactivate_s0.7_cifar10,dwa,kill_and_reactivate,70.0%,0.202,0.091,0.588,0.707,0.208,0.111,0.833,0.909,0.608
dwa_kill_and_reactivate_s0.8_cifar10,dwa,kill_and_reactivate,80.0%,0.202,0.092,0.597,0.714,0.210,0.112,0.833,0.909,0.626
dwa_kill_and_reactivate_s0.95_cifar10,dwa,kill_and_reactivate,95.0%,0.200,0.088,0.594,0.709,0.209,0.112,0.833,0.909,0.633
dwa_kill_and_reactivate_s0.9_cifar10,dwa,kill_and_reactivate,90.0%,0.201,0.089,0.596,0.712,0.208,0.106,0.833,0.909,0.641
dwa_reactivate_only_s0.5_cifar10,dwa,reactivate_only,50.0%,0.208,0.105,0.596,0.713,0.218,0.128,0.833,0.909,0.627
dwa_reactivate_only_s0.7_cifar10,dwa,reactivate_only,70.0%,0.200,0.087,0.586,0.703,0.207,0.106,0.833,0.909,0.634
dwa_reactivate_only_s0.8_cifar10,dwa,reactivate_only,80.0%,0.205,0.097,0.588,0.705,0.211,0.115,0.833,0.909,0.629
dwa_reactivate_only_s0.95_cifar10,dwa,reactivate_only,95.0%,0.203,0.092,0.598,0.713,0.211,0.113,0.833,0.909,0.640
dwa_reactivate_only_s0.9_cifar10,dwa,reactivate_only,90.0%,0.202,0.093,0.587,0.704,0.209,0.112,0.833,0.909,0.614
