epoch	acc1_train	acc1_valid	best_acc1
1	38.62	45.41	0.0
2	59.572	61.38	0.0
3	67.446	67.33	0.0
4	72.644	70.81	0.0
5	75.698	64.96	0.0
6	77.058	70.44	0.0
7	78.176	69.22	0.0
8	78.988	67.21	0.0
9	79.784	71.11	0.0
10	80.214	73.56	0.0
11	81.06	70.02	0.0
12	81.25	72.29	0.0
13	81.714	76.52	0.0
14	81.748	75.62	0.0
15	82.1	79.4	0.0
16	82.35	75.37	0.0
17	82.544	75.31	0.0
18	82.722	71.78	0.0
19	83.106	72.2	0.0
20	83.136	73.59	0.0
21	83.078	70.97	0.0
22	83.358	79.94	0.0
23	83.636	72.77	0.0
24	83.794	78.7	0.0
25	83.52	79.13	0.0
26	83.73	78.82	0.0
27	84.12	77.28	0.0
28	83.964	76.24	0.0
29	83.948	79.14	0.0
30	84.194	78.66	0.0
31	84.29	80.18	0.0
32	84.354	77.14	0.0
33	84.282	77.22	0.0
34	84.646	79.94	0.0
35	84.73	81.58	0.0
36	84.564	78.18	0.0
37	84.562	78.24	0.0
38	84.542	74.14	0.0
39	84.628	76.96	0.0
40	84.892	80.65	0.0
41	85.092	79.7	0.0
42	84.772	83.78	0.0
43	84.814	77.88	0.0
44	84.91	80.66	0.0
45	85.18	76.06	0.0
46	84.852	78.49	0.0
47	85.082	72.48	0.0
48	84.848	77.2	0.0
49	85.218	80.56	0.0
50	84.924	79.28	0.0
51	85.222	79.04	0.0
52	85.144	76.18	0.0
53	85.322	81.13	0.0
54	85.104	74.12	0.0
55	85.184	72.78	0.0
56	85.224	81.34	0.0
57	85.362	76.45	0.0
58	85.258	75.83	0.0
59	85.144	72.44	0.0
60	85.198	78.11	0.0
61	85.186	80.06	0.0
62	85.174	81.44	0.0
63	85.402	82.06	0.0
64	85.232	74.51	0.0
65	85.078	78.47	0.0
66	85.418	72.32	0.0
67	85.018	80.1	0.0
68	85.058	79.69	0.0
69	85.346	80.86	0.0
70	85.214	66.74	0.0
71	85.452	77.59	0.0
72	85.354	82.92	0.0
73	85.31	74.57	0.0
74	85.134	75.06	0.0
75	85.236	82.4	0.0
76	85.24	76.76	76.76
77	85.428	82.85	82.85
78	85.176	80.92	82.85
79	85.112	79.95	82.85
80	85.254	80.92	82.85
81	85.28	78.27	82.85
82	85.366	79.96	82.85
83	85.34	74.63	82.85
84	85.102	81.9	82.85
85	85.382	80.59	82.85
86	85.32	79.42	82.85
87	85.376	79.37	82.85
88	85.502	82.01	82.85
89	85.532	80.01	82.85
90	85.408	79.39	82.85
91	85.34	78.24	82.85
92	85.404	75.7	82.85
93	85.482	78.6	82.85
94	85.196	80.19	82.85
95	85.336	74.41	82.85
96	85.45	82.1	82.85
97	85.218	77.72	82.85
98	85.446	82.46	82.85
99	85.142	78.68	82.85
100	85.196	79.54	82.85
101	89.964	89.76	89.76
102	91.528	90.21	90.21
103	92.136	90.04	90.21
104	92.586	90.07	90.21
105	92.734	90.43	90.43
106	93.124	89.99	90.43
107	93.232	90.77	90.77
108	93.252	90.71	90.77
109	93.558	90.64	90.77
110	93.558	90.75	90.77
111	93.868	90.43	90.77
112	93.926	89.84	90.77
113	94.054	90.05	90.77
114	94.1	90.14	90.77
115	94.182	89.24	90.77
116	94.226	89.95	90.77
117	94.14	89.86	90.77
118	94.164	90.28	90.77
119	94.288	88.96	90.77
120	94.314	90.16	90.77
121	94.39	89.7	90.77
122	94.198	89.89	90.77
123	94.166	89.79	90.77
124	94.306	89.96	90.77
125	94.212	89.56	90.77
126	94.366	90.53	90.77
127	94.148	89.63	90.77
128	94.27	89.35	90.77
129	94.204	89.89	90.77
130	94.164	89.13	90.77
131	94.372	89.92	90.77
132	94.176	89.45	90.77
133	94.244	89.49	90.77
134	94.326	89.34	90.77
135	94.182	89.25	90.77
136	94.162	88.54	90.77
137	94.114	87.44	90.77
138	94.238	89.84	90.77
139	94.248	89.17	90.77
140	94.162	89.01	90.77
141	94.364	90.23	90.77
142	94.2	88.55	90.77
143	94.082	89.27	90.77
144	94.306	88.5	90.77
145	94.082	90.12	90.77
146	94.204	90.0	90.77
147	94.272	88.75	90.77
148	94.236	87.86	90.77
149	94.164	88.68	90.77
150	94.452	89.71	90.77
151	96.042	91.74	91.74
152	96.718	91.77	91.77
153	97.006	92.09	92.09
154	97.238	92.04	92.09
155	97.292	91.94	92.09
156	97.31	92.05	92.09
157	97.432	92.2	92.2
158	97.482	92.03	92.2
159	97.518	92.14	92.2
160	97.58	92.04	92.2
161	97.606	92.13	92.2
162	97.576	92.21	92.21
163	97.682	92.11	92.21
164	97.672	92.27	92.27
165	97.782	92.24	92.27
166	97.836	92.14	92.27
167	97.956	92.14	92.27
168	97.924	92.09	92.27
169	97.928	92.13	92.27
170	97.854	92.35	92.35
171	97.944	92.16	92.35
172	98.002	92.2	92.35
173	98.1	92.06	92.35
174	97.986	92.27	92.35
175	98.086	92.34	92.35
176	98.096	92.43	92.43
177	98.1	92.22	92.43
178	98.104	92.09	92.43
179	98.142	92.12	92.43
180	98.13	92.02	92.43
181	98.148	92.36	92.43
182	98.248	92.06	92.43
183	98.23	92.16	92.43
184	98.276	92.34	92.43
185	98.256	91.89	92.43
186	98.23	92.04	92.43
187	98.25	92.05	92.43
188	98.29	92.04	92.43
189	98.278	92.05	92.43
190	98.332	92.1	92.43
191	98.34	92.16	92.43
192	98.426	92.16	92.43
193	98.27	92.15	92.43
194	98.3	92.06	92.43
195	98.344	91.99	92.43
196	98.31	92.04	92.43
197	98.392	92.03	92.43
198	98.438	92.07	92.43
199	98.466	92.18	92.43
200	98.408	91.93	92.43
