epoch	acc1_train	acc1_valid	best_acc1
1	40.686	47.58	0.0
2	60.76	59.77	0.0
3	68.774	67.75	0.0
4	73.342	61.0	0.0
5	75.752	65.73	0.0
6	77.156	69.03	0.0
7	78.104	76.61	0.0
8	79.11	66.8	0.0
9	79.708	69.43	0.0
10	80.224	75.46	0.0
11	80.77	70.25	0.0
12	81.276	77.9	0.0
13	81.542	77.02	0.0
14	81.974	76.02	0.0
15	82.032	73.69	0.0
16	82.304	75.81	0.0
17	82.808	74.27	0.0
18	82.86	79.56	0.0
19	82.908	75.64	0.0
20	83.11	76.32	0.0
21	83.548	75.85	0.0
22	83.342	81.21	0.0
23	83.722	78.18	0.0
24	83.738	75.38	0.0
25	83.966	75.9	0.0
26	84.02	74.14	0.0
27	84.414	78.09	0.0
28	84.476	75.65	0.0
29	84.37	79.63	0.0
30	84.562	78.66	0.0
31	84.644	79.71	0.0
32	84.72	76.7	0.0
33	84.66	80.44	0.0
34	84.938	79.25	0.0
35	84.822	79.16	0.0
36	84.956	76.48	0.0
37	84.898	80.82	0.0
38	84.884	74.5	0.0
39	85.1	79.33	0.0
40	85.056	80.42	0.0
41	85.102	74.12	0.0
42	84.968	79.94	0.0
43	85.366	73.24	0.0
44	85.198	81.64	0.0
45	85.458	76.9	0.0
46	85.354	79.35	0.0
47	85.294	81.3	0.0
48	85.344	82.06	0.0
49	85.212	83.48	0.0
50	85.236	79.35	0.0
51	85.554	79.85	0.0
52	85.59	74.86	0.0
53	85.344	74.34	0.0
54	85.252	73.8	0.0
55	85.752	79.76	0.0
56	85.47	79.39	0.0
57	85.444	82.38	0.0
58	85.734	78.57	0.0
59	85.526	76.31	0.0
60	85.422	81.64	0.0
61	85.324	76.03	0.0
62	85.346	78.25	0.0
63	85.458	75.24	0.0
64	85.856	77.0	0.0
65	85.354	80.67	0.0
66	85.558	78.79	0.0
67	85.646	78.44	0.0
68	85.526	80.49	0.0
69	85.648	77.77	0.0
70	85.46	80.24	0.0
71	85.758	78.88	0.0
72	85.398	79.01	0.0
73	85.576	78.5	0.0
74	85.348	76.72	0.0
75	85.606	81.89	0.0
76	85.656	74.39	74.39
77	85.746	79.1	79.1
78	85.562	77.98	79.1
79	85.346	72.54	79.1
80	85.356	77.97	79.1
81	85.608	79.94	79.94
82	85.6	80.37	80.37
83	85.632	77.14	80.37
84	85.688	72.72	80.37
85	85.436	75.0	80.37
86	85.482	76.9	80.37
87	85.542	77.52	80.37
88	85.746	77.79	80.37
89	85.53	82.05	82.05
90	85.576	80.61	82.05
91	85.65	80.92	82.05
92	85.582	78.25	82.05
93	85.68	80.48	82.05
94	85.5	78.21	82.05
95	85.542	75.7	82.05
96	85.69	77.57	82.05
97	85.26	82.49	82.49
98	85.44	79.27	82.49
99	85.3	82.46	82.49
100	85.474	80.25	82.49
101	89.722	89.0	89.0
102	91.054	89.17	89.17
103	91.688	89.63	89.63
104	91.838	89.85	89.85
105	91.856	89.83	89.85
106	92.208	89.84	89.85
107	92.316	89.72	89.85
108	92.274	89.78	89.85
109	92.402	90.06	90.06
110	92.442	89.81	90.06
111	92.752	89.96	90.06
112	92.646	89.79	90.06
113	92.822	89.4	90.06
114	92.956	89.54	90.06
115	92.756	88.88	90.06
116	92.89	89.75	90.06
117	92.698	89.3	90.06
118	92.714	89.16	90.06
119	92.774	89.31	90.06
120	92.982	89.26	90.06
121	92.788	89.57	90.06
122	92.996	89.34	90.06
123	92.784	88.99	90.06
124	92.972	89.19	90.06
125	92.692	88.74	90.06
126	92.884	88.86	90.06
127	92.854	88.34	90.06
128	92.838	88.41	90.06
129	92.706	88.96	90.06
130	92.756	87.67	90.06
131	92.736	89.24	90.06
132	92.822	88.96	90.06
133	92.464	88.84	90.06
134	92.564	88.23	90.06
135	92.668	88.54	90.06
136	92.678	88.63	90.06
137	92.616	87.73	90.06
138	92.46	89.08	90.06
139	92.526	88.2	90.06
140	92.556	88.76	90.06
141	92.428	87.87	90.06
142	92.726	87.88	90.06
143	92.724	89.41	90.06
144	92.69	87.16	90.06
145	92.508	88.28	90.06
146	92.58	88.63	90.06
147	92.482	87.48	90.06
148	92.468	88.94	90.06
149	92.44	87.95	90.06
150	92.686	87.92	90.06
151	93.996	90.33	90.33
152	94.724	90.41	90.41
153	94.756	90.6	90.6
154	94.888	90.73	90.73
155	95.008	90.8	90.8
156	95.026	90.79	90.8
157	95.236	90.78	90.8
158	95.248	90.74	90.8
159	95.226	90.68	90.8
160	95.212	90.61	90.8
161	95.36	90.57	90.8
162	95.302	90.66	90.8
163	95.436	90.71	90.8
164	95.534	90.77	90.8
165	95.44	90.56	90.8
166	95.64	90.48	90.8
167	95.534	90.61	90.8
168	95.614	90.7	90.8
169	95.432	90.57	90.8
170	95.622	90.67	90.8
171	95.466	90.77	90.8
172	95.528	90.66	90.8
173	95.696	90.67	90.8
174	95.676	90.77	90.8
175	95.722	90.68	90.8
176	95.732	90.68	90.8
177	95.614	90.7	90.8
178	95.76	90.58	90.8
179	95.818	90.28	90.8
180	95.722	90.47	90.8
181	95.84	90.8	90.8
182	95.758	90.74	90.8
183	95.954	90.61	90.8
184	95.714	90.52	90.8
185	95.766	90.7	90.8
186	95.776	90.65	90.8
187	95.746	90.66	90.8
188	95.814	90.64	90.8
189	95.956	90.5	90.8
190	95.864	90.72	90.8
191	95.89	90.65	90.8
192	95.976	90.54	90.8
193	95.824	90.58	90.8
194	95.894	90.55	90.8
195	95.912	90.59	90.8
196	96.106	90.58	90.8
197	95.892	90.6	90.8
198	96.044	90.58	90.8
199	95.968	90.64	90.8
200	96.026	90.36	90.8
