epoch	acc1_train	acc1_valid	best_acc1
1	38.12	47.51	0.0
2	59.672	62.8	0.0
3	67.088	61.79	0.0
4	72.304	70.79	0.0
5	75.112	65.02	0.0
6	76.704	68.81	0.0
7	77.856	74.1	0.0
8	78.844	68.63	0.0
9	79.458	72.02	0.0
10	79.938	70.47	0.0
11	80.892	70.27	0.0
12	81.014	74.56	0.0
13	81.658	74.42	0.0
14	81.8	65.94	0.0
15	82.14	78.43	0.0
16	82.274	75.71	0.0
17	82.678	80.15	0.0
18	82.848	80.31	0.0
19	83.122	78.58	0.0
20	83.392	76.72	0.0
21	83.314	77.77	0.0
22	83.604	80.72	0.0
23	83.83	73.12	0.0
24	83.702	77.02	0.0
25	83.786	75.11	0.0
26	84.44	79.38	0.0
27	84.45	80.07	0.0
28	84.28	77.83	0.0
29	84.45	77.74	0.0
30	84.816	81.02	0.0
31	84.874	77.49	0.0
32	84.914	78.94	0.0
33	84.848	75.07	0.0
34	85.048	73.35	0.0
35	84.95	79.9	0.0
36	85.188	78.97	0.0
37	85.348	76.6	0.0
38	84.916	73.32	0.0
39	85.35	81.87	0.0
40	85.132	79.08	0.0
41	85.168	81.31	0.0
42	85.162	79.66	0.0
43	85.106	82.0	0.0
44	85.338	82.02	0.0
45	84.902	73.96	0.0
46	84.98	78.79	0.0
47	84.982	79.31	0.0
48	84.952	68.48	0.0
49	84.756	79.56	0.0
50	84.632	77.92	0.0
51	84.692	74.72	0.0
52	84.546	74.18	0.0
53	84.286	78.95	0.0
54	84.08	79.93	0.0
55	84.404	80.87	0.0
56	83.97	81.02	0.0
57	84.12	79.01	0.0
58	83.908	76.28	0.0
59	83.618	78.74	0.0
60	83.598	78.08	0.0
61	83.592	76.35	0.0
62	83.636	79.67	0.0
63	83.796	79.59	0.0
64	83.724	72.0	0.0
65	83.61	80.92	0.0
66	83.342	74.1	0.0
67	83.29	77.7	0.0
68	83.526	73.3	0.0
69	83.364	72.92	0.0
70	83.29	70.47	0.0
71	83.314	79.25	0.0
72	83.31	80.33	0.0
73	83.062	76.56	0.0
74	83.46	79.87	0.0
75	83.416	72.76	0.0
76	83.276	73.87	73.87
77	83.442	74.58	74.58
78	83.508	77.22	77.22
79	83.196	74.64	77.22
80	83.148	75.77	77.22
81	83.388	72.49	77.22
82	83.186	76.57	77.22
83	83.326	79.45	79.45
84	83.294	72.6	79.45
85	83.178	75.17	79.45
86	83.298	75.59	79.45
87	83.252	77.15	79.45
88	83.31	70.19	79.45
89	83.334	77.26	79.45
90	83.296	76.92	79.45
91	83.688	74.13	79.45
92	83.134	76.68	79.45
93	83.28	73.03	79.45
94	83.384	73.06	79.45
95	83.474	77.32	79.45
96	83.528	78.57	79.45
97	83.096	77.45	79.45
98	83.18	72.44	79.45
99	83.252	78.48	79.45
100	83.22	77.09	79.45
101	87.234	86.96	86.96
102	88.302	86.98	86.98
103	88.67	87.41	87.41
104	88.846	87.2	87.41
105	88.854	87.47	87.47
106	89.214	87.04	87.47
107	88.888	87.2	87.47
108	89.1	87.57	87.57
109	89.178	87.32	87.57
110	89.25	87.18	87.57
111	89.362	86.75	87.57
112	89.312	86.96	87.57
113	89.274	87.45	87.57
114	89.392	86.87	87.57
115	89.322	86.5	87.57
116	89.384	87.27	87.57
117	89.336	87.11	87.57
118	89.244	87.71	87.71
119	89.098	86.61	87.71
120	89.232	86.7	87.71
121	89.13	86.89	87.71
122	89.212	86.93	87.71
123	89.146	86.69	87.71
124	89.172	86.88	87.71
125	88.988	86.67	87.71
126	89.07	86.84	87.71
127	89.066	86.58	87.71
128	88.994	85.69	87.71
129	88.996	86.67	87.71
130	88.914	86.14	87.71
131	88.908	87.23	87.71
132	88.962	86.34	87.71
133	88.734	86.22	87.71
134	88.788	86.23	87.71
135	88.744	85.98	87.71
136	88.924	86.52	87.71
137	88.712	86.35	87.71
138	88.898	86.35	87.71
139	88.778	86.36	87.71
140	88.752	85.33	87.71
141	88.824	86.18	87.71
142	88.766	86.37	87.71
143	88.766	86.29	87.71
144	88.79	86.22	87.71
145	88.832	86.62	87.71
146	88.524	85.82	87.71
147	88.694	86.38	87.71
148	88.7	85.68	87.71
149	88.692	85.7	87.71
150	88.538	86.23	87.71
151	89.732	87.52	87.71
152	90.202	87.56	87.71
153	90.16	87.67	87.71
154	90.266	87.56	87.71
155	90.306	87.57	87.71
156	90.432	87.82	87.82
157	90.604	87.85	87.85
158	90.424	87.82	87.85
159	90.308	87.88	87.88
160	90.492	87.99	87.99
161	90.458	87.74	87.99
162	90.518	87.78	87.99
163	90.556	87.92	87.99
164	90.602	87.83	87.99
165	90.622	88.07	88.07
166	90.678	87.98	88.07
167	90.706	88.01	88.07
168	90.64	87.92	88.07
169	90.58	87.84	88.07
170	90.612	87.88	88.07
171	90.53	87.93	88.07
172	90.588	87.84	88.07
173	90.712	87.84	88.07
174	90.472	87.82	88.07
175	90.642	88.01	88.07
176	90.732	87.77	88.07
177	90.684	87.76	88.07
178	90.83	87.84	88.07
179	90.762	87.76	88.07
180	90.724	87.86	88.07
181	90.714	87.86	88.07
182	90.78	87.89	88.07
183	90.854	87.87	88.07
184	90.748	87.97	88.07
185	90.796	87.68	88.07
186	90.728	87.97	88.07
187	90.698	87.87	88.07
188	90.762	87.77	88.07
189	90.814	87.95	88.07
190	90.75	88.14	88.14
191	90.74	87.96	88.14
192	90.752	87.93	88.14
193	90.736	87.96	88.14
194	90.782	87.84	88.14
195	90.806	87.94	88.14
196	90.778	87.7	88.14
197	90.71	87.94	88.14
198	90.864	87.95	88.14
199	90.674	87.71	88.14
200	90.856	87.95	88.14
