epoch	acc1_train	acc1_valid	best_acc1
1	37.756	49.08	0.0
2	59.036	60.11	0.0
3	68.054	57.5	0.0
4	73.098	72.62	0.0
5	75.826	71.74	0.0
6	76.886	73.95	0.0
7	78.216	73.01	0.0
8	78.746	69.67	0.0
9	79.658	75.95	0.0
10	80.176	71.08	0.0
11	80.8	75.77	0.0
12	81.098	74.06	0.0
13	81.558	69.11	0.0
14	81.724	76.18	0.0
15	82.264	76.82	0.0
16	82.308	71.15	0.0
17	82.59	79.16	0.0
18	82.752	73.84	0.0
19	82.796	72.77	0.0
20	83.202	80.35	0.0
21	83.212	78.18	0.0
22	83.488	81.85	0.0
23	83.862	77.38	0.0
24	83.85	77.92	0.0
25	83.816	76.82	0.0
26	83.992	70.0	0.0
27	84.36	77.3	0.0
28	84.174	75.69	0.0
29	84.312	79.31	0.0
30	84.468	78.83	0.0
31	84.604	81.0	0.0
32	84.58	80.06	0.0
33	84.728	81.37	0.0
34	84.75	75.3	0.0
35	84.918	81.26	0.0
36	84.846	74.17	0.0
37	84.832	77.97	0.0
38	85.208	78.85	0.0
39	84.814	79.53	0.0
40	84.914	80.85	0.0
41	84.824	81.37	0.0
42	84.926	81.29	0.0
43	84.878	81.0	0.0
44	84.836	82.62	0.0
45	84.79	79.58	0.0
46	84.928	82.52	0.0
47	84.862	78.28	0.0
48	84.618	77.31	0.0
49	84.422	73.54	0.0
50	84.228	80.44	0.0
51	84.37	75.97	0.0
52	84.078	78.34	0.0
53	84.24	81.9	0.0
54	83.908	78.52	0.0
55	84.014	82.63	0.0
56	84.048	74.77	0.0
57	83.9	78.19	0.0
58	83.524	76.8	0.0
59	83.488	74.07	0.0
60	83.352	72.42	0.0
61	83.256	76.24	0.0
62	83.202	74.72	0.0
63	83.566	79.79	0.0
64	83.256	78.88	0.0
65	83.374	73.4	0.0
66	83.174	75.7	0.0
67	83.004	78.19	0.0
68	83.154	78.98	0.0
69	83.272	74.47	0.0
70	83.092	75.77	0.0
71	83.11	72.32	0.0
72	82.994	78.61	0.0
73	83.09	77.28	0.0
74	83.132	73.43	0.0
75	83.098	78.95	0.0
76	83.244	77.41	77.41
77	83.252	75.73	77.41
78	83.054	77.53	77.53
79	83.088	80.4	80.4
80	82.878	76.03	80.4
81	82.92	74.15	80.4
82	83.042	75.51	80.4
83	83.25	77.89	80.4
84	82.93	66.1	80.4
85	82.98	75.46	80.4
86	82.8	78.96	80.4
87	83.072	75.23	80.4
88	83.114	78.04	80.4
89	83.284	76.03	80.4
90	82.846	75.46	80.4
91	83.092	75.38	80.4
92	82.68	75.67	80.4
93	83.254	76.06	80.4
94	82.986	71.82	80.4
95	83.236	75.09	80.4
96	82.968	75.85	80.4
97	82.77	79.93	80.4
98	83.036	74.46	80.4
99	82.766	75.17	80.4
