epoch	acc1_train	acc1_valid	best_acc1
1	38.22	39.89	0.0
2	59.91	54.19	0.0
3	69.176	60.15	0.0
4	73.932	67.83	0.0
5	76.352	61.99	0.0
6	77.654	72.15	0.0
7	78.754	78.56	0.0
8	79.474	76.61	0.0
9	80.098	76.18	0.0
10	80.534	70.75	0.0
11	81.204	76.46	0.0
12	81.486	75.31	0.0
13	81.686	74.98	0.0
14	82.182	72.91	0.0
15	82.236	74.37	0.0
16	82.456	76.31	0.0
17	82.668	78.64	0.0
18	82.928	78.41	0.0
19	83.008	74.08	0.0
20	83.098	77.35	0.0
21	83.218	80.02	0.0
22	83.326	75.25	0.0
23	83.832	76.65	0.0
24	83.572	76.71	0.0
25	83.738	78.71	0.0
26	84.15	75.55	0.0
27	84.16	77.19	0.0
28	84.194	76.76	0.0
29	84.01	79.87	0.0
30	84.38	80.78	0.0
31	84.374	76.88	0.0
32	84.776	75.58	0.0
33	84.67	78.03	0.0
34	84.846	80.28	0.0
35	84.582	76.86	0.0
36	85.062	77.33	0.0
37	84.862	79.84	0.0
38	84.858	78.74	0.0
39	84.96	79.44	0.0
40	85.22	82.84	0.0
41	85.166	81.44	0.0
42	84.89	78.33	0.0
43	85.188	80.21	0.0
44	85.138	79.8	0.0
45	85.572	77.73	0.0
46	85.31	77.38	0.0
47	85.116	79.71	0.0
48	85.092	74.51	0.0
49	85.376	80.42	0.0
50	85.328	80.23	0.0
51	85.526	80.84	0.0
52	85.578	79.6	0.0
53	85.204	80.08	0.0
54	85.246	76.88	0.0
55	85.574	80.27	0.0
56	85.554	80.01	0.0
57	85.398	81.13	0.0
58	85.586	78.91	0.0
59	85.456	80.36	0.0
60	85.288	79.63	0.0
61	85.392	78.62	0.0
62	85.44	81.24	0.0
63	85.552	76.73	0.0
64	85.414	78.58	0.0
65	85.41	80.85	0.0
66	85.5	78.73	0.0
67	85.7	78.71	0.0
68	85.384	80.64	0.0
69	85.618	79.66	0.0
70	85.566	71.91	0.0
71	85.574	79.6	0.0
72	85.368	78.3	0.0
73	85.508	82.19	0.0
74	85.762	76.91	0.0
75	85.512	76.81	0.0
76	85.708	78.74	78.74
77	85.654	81.72	81.72
78	85.364	79.78	81.72
79	85.63	80.41	81.72
80	85.344	81.68	81.72
81	85.524	77.98	81.72
82	85.374	80.4	81.72
83	85.734	73.49	81.72
84	85.676	78.29	81.72
85	85.466	75.06	81.72
86	85.756	73.99	81.72
87	85.368	81.29	81.72
88	85.432	79.6	81.72
89	85.558	80.97	81.72
90	85.564	75.9	81.72
91	85.712	75.3	81.72
92	85.472	78.73	81.72
93	85.652	78.17	81.72
94	85.492	76.34	81.72
95	85.488	78.03	81.72
96	85.592	82.43	82.43
97	85.3	78.28	82.43
98	85.708	82.34	82.43
99	85.514	74.79	82.43
100	85.488	80.17	82.43
101	89.606	88.82	88.82
102	91.04	89.21	89.21
103	91.384	89.22	89.22
104	91.76	89.22	89.22
105	91.842	89.55	89.55
106	92.306	89.28	89.55
107	92.312	89.33	89.55
108	92.474	89.16	89.55
109	92.334	89.57	89.57
110	92.378	89.29	89.57
111	92.504	89.05	89.57
112	92.75	89.32	89.57
113	92.812	88.95	89.57
114	92.686	89.65	89.65
115	92.702	88.98	89.65
116	92.95	88.89	89.65
117	92.856	89.52	89.65
118	92.798	88.76	89.65
119	92.796	89.38	89.65
120	92.84	89.09	89.65
121	92.876	88.99	89.65
122	92.782	88.85	89.65
123	92.892	89.14	89.65
124	92.894	88.61	89.65
125	92.71	88.69	89.65
126	92.768	88.93	89.65
127	92.774	88.07	89.65
128	92.818	88.62	89.65
129	92.694	88.46	89.65
130	92.768	88.84	89.65
131	92.792	88.46	89.65
132	92.86	88.74	89.65
133	92.778	88.03	89.65
134	92.47	88.9	89.65
135	92.762	89.38	89.65
136	92.766	88.44	89.65
137	92.594	88.3	89.65
138	92.536	88.79	89.65
139	92.732	87.14	89.65
140	92.632	88.13	89.65
141	92.554	88.02	89.65
142	92.612	88.37	89.65
143	92.672	88.54	89.65
144	92.542	88.17	89.65
145	92.644	87.93	89.65
146	92.4	87.91	89.65
147	92.538	88.34	89.65
148	92.688	88.25	89.65
149	92.522	89.37	89.65
150	92.516	87.61	89.65
151	93.958	90.55	90.55
152	94.732	90.38	90.55
153	94.714	90.69	90.69
154	94.78	90.6	90.69
155	95.04	90.72	90.72
156	95.024	90.63	90.72
157	95.28	90.92	90.92
158	95.082	90.85	90.92
159	95.214	90.9	90.92
160	95.204	90.83	90.92
161	95.32	90.72	90.92
162	95.25	90.64	90.92
163	95.432	90.88	90.92
164	95.27	90.82	90.92
165	95.366	90.62	90.92
166	95.528	90.86	90.92
167	95.526	90.65	90.92
168	95.604	90.82	90.92
169	95.408	90.86	90.92
170	95.52	90.83	90.92
171	95.562	91.02	91.02
172	95.64	90.72	91.02
173	95.746	90.7	91.02
174	95.506	90.84	91.02
175	95.608	90.81	91.02
176	95.724	90.72	91.02
177	95.65	90.92	91.02
178	95.622	90.6	91.02
179	95.636	90.86	91.02
180	95.712	90.46	91.02
181	95.828	90.83	91.02
182	95.768	90.7	91.02
183	95.868	91.06	91.06
184	95.704	90.72	91.06
185	95.806	90.84	91.06
186	95.868	90.77	91.06
187	95.704	90.86	91.06
188	95.808	90.5	91.06
189	95.84	90.86	91.06
190	95.924	90.74	91.06
191	95.876	90.86	91.06
192	95.832	90.6	91.06
193	95.862	90.61	91.06
194	95.924	90.66	91.06
195	95.844	90.79	91.06
196	95.882	90.7	91.06
197	95.836	90.39	91.06
198	95.932	90.76	91.06
199	95.906	90.7	91.06
200	95.852	90.68	91.06
