epoch	acc1_train	acc1_valid	best_acc1
1	40.482	48.99	0.0
2	60.6	59.79	0.0
3	68.392	63.14	0.0
4	73.25	71.08	0.0
5	75.672	53.3	0.0
6	77.078	69.64	0.0
7	78.052	74.97	0.0
8	79.07	71.64	0.0
9	79.902	74.97	0.0
10	80.188	75.61	0.0
11	80.86	70.71	0.0
12	81.174	65.33	0.0
13	81.396	79.37	0.0
14	81.792	69.95	0.0
15	81.918	75.38	0.0
16	82.344	78.25	0.0
17	82.298	77.94	0.0
18	82.654	76.59	0.0
19	82.846	75.59	0.0
20	82.812	70.98	0.0
21	83.074	74.49	0.0
22	83.226	78.6	0.0
23	83.466	76.75	0.0
24	83.468	75.94	0.0
25	83.746	77.69	0.0
26	83.652	77.1	0.0
27	83.858	71.55	0.0
28	83.94	77.71	0.0
29	83.744	75.06	0.0
30	84.56	78.82	0.0
31	84.142	70.54	0.0
32	84.44	71.31	0.0
33	84.326	77.05	0.0
34	84.594	82.2	0.0
35	84.444	77.98	0.0
36	84.632	77.29	0.0
37	84.68	77.72	0.0
38	84.454	79.5	0.0
39	84.862	81.34	0.0
40	84.746	82.52	0.0
41	85.012	77.55	0.0
42	84.89	72.84	0.0
43	84.99	77.44	0.0
44	85.088	80.29	0.0
45	84.996	77.45	0.0
46	85.15	81.17	0.0
47	85.262	77.32	0.0
48	84.908	79.41	0.0
49	85.116	81.42	0.0
50	84.968	79.42	0.0
51	85.12	81.03	0.0
52	85.096	60.27	0.0
53	85.226	75.37	0.0
54	84.888	77.38	0.0
55	85.24	79.82	0.0
56	85.056	81.0	0.0
57	85.188	79.76	0.0
58	85.374	82.37	0.0
59	85.446	76.83	0.0
60	85.248	81.69	0.0
61	85.246	78.2	0.0
62	85.062	78.22	0.0
63	85.348	82.98	0.0
64	85.426	80.27	0.0
65	85.294	80.35	0.0
66	85.154	74.96	0.0
67	85.27	81.52	0.0
68	85.326	76.66	0.0
69	85.13	74.49	0.0
70	85.214	72.64	0.0
